"Longitude" "Latitude" "Longneg" "Depth" "substrate" "substrate_code"
272.55 29.35 -87.45 498.229166666667 30 4
272.55 29.45 -87.45 222.777777777778 300 6
272.55 29.55 -87.45 78.7013888888889 300 6
272.55 29.65 -87.45 63.4097222222222 3000 8
272.55 29.75 -87.45 46.6597222222222 30 4
272.55 29.85 -87.45 34.5277777777778 30 4
272.55 29.95 -87.45 32.1597222222222 20 3
272.55 30.05 -87.45 25.2569444444444 30 4
272.55 30.15 -87.45 22.8541666666667 20 3
272.55 30.25 -87.45 11.1153846153846 30 4
272.65 29.45 -87.35 361.118055555556 30 4
272.65 29.55 -87.35 175.138888888889 30 4
272.65 29.65 -87.35 87.7430555555556 2 1
272.65 29.75 -87.35 82.8958333333333 30 4
272.65 29.85 -87.35 49.1458333333333 30 4
272.65 29.95 -87.35 29.4305555555556 20 3
272.65 30.05 -87.35 28.0763888888889 30 4
272.65 30.15 -87.35 22.3402777777778 20 3
272.65 30.25 -87.35 13.7708333333333 30 4
272.75 29.45 -87.25 417.090277777778 30 4
272.75 29.55 -87.25 307.486111111111 30 4
272.75 29.65 -87.25 231.076388888889 3 2
272.75 29.75 -87.25 154.840277777778 3 2
272.75 29.85 -87.25 76.4722222222222 30 4
272.75 29.95 -87.25 38.6527777777778 30 4
272.75 30.05 -87.25 31.2638888888889 20 3
272.75 30.15 -87.25 24.7083333333333 20 3
272.75 30.25 -87.25 18.3263888888889 20 3
272.85 29.45 -87.15 460.222222222222 3 2
272.85 29.55 -87.15 331.611111111111 3 2
272.85 29.65 -87.15 257.208333333333 3 2
272.85 29.75 -87.15 216.680555555556 2 1
272.85 29.85 -87.15 121.673611111111 30 4
272.85 29.95 -87.15 60.8611111111111 200 5
272.85 30.05 -87.15 31.0138888888889 300 6
272.85 30.15 -87.15 28.1736111111111 30 4
272.85 30.25 -87.15 22.9861111111111 200 5
272.95 29.55 -87.05 337.104166666667 3 2
272.95 29.65 -87.05 251.625 3 2
272.95 29.75 -87.05 213.388888888889 2 1
272.95 29.85 -87.05 182.243055555556 30 4
272.95 29.95 -87.05 101.895833333333 30 4
272.95 30.05 -87.05 45.3194444444444 300 6
272.95 30.15 -87.05 27.9583333333333 30 4
272.95 30.25 -87.05 23.5138888888889 30 4
272.95 30.35 -87.05 12.1855670103093 30 4
273.05 29.55 -86.95 321.083333333333 3 2
273.05 29.65 -86.95 237.583333333333 3 2
273.05 29.75 -86.95 198.069444444444 3 2
273.05 29.85 -86.95 174.479166666667 3 2
273.05 29.95 -86.95 146.416666666667 2 1
273.05 30.05 -86.95 93.2569444444444 3 2
273.05 30.15 -86.95 34.0416666666667 200 5
273.05 30.25 -86.95 25.0902777777778 30 4
273.05 30.35 -86.95 14.9831932773109 30 4
273.15 29.35 -86.85 488.722222222222 3 2
273.15 29.45 -86.85 445.902777777778 3 2
273.15 29.55 -86.85 295.319444444444 3 2
273.15 29.65 -86.85 221.069444444444 3 2
273.15 29.75 -86.85 182.1875 3 2
273.15 29.85 -86.85 159.229166666667 3 2
273.15 29.95 -86.85 137.805555555556 3 2
273.15 30.05 -86.85 106.0625 3 2
273.15 30.15 -86.85 45.1180555555556 200 5
273.15 30.25 -86.85 23.8263888888889 30 4
273.15 30.35 -86.85 16.7272727272727 20 3
273.25 29.05 -86.75 489.291666666667 3 2
273.25 29.15 -86.75 472.270833333333 2 1
273.25 29.25 -86.75 454.486111111111 2 1
273.25 29.35 -86.75 426.861111111111 2 1
273.25 29.45 -86.75 364.493055555556 20 3
273.25 29.55 -86.75 261.597222222222 30 4
273.25 29.65 -86.75 201.048611111111 3 2
273.25 29.75 -86.75 165.229166666667 2 1
273.25 29.85 -86.75 142.125 3 2
273.25 29.95 -86.75 121.409722222222 3 2
273.25 30.05 -86.75 86.5277777777778 20 3
273.25 30.15 -86.75 39.1388888888889 20 3
273.25 30.25 -86.75 24.2638888888889 30 4
273.25 30.35 -86.75 19.1742424242424 30 4
273.35 28.75 -86.65 499.861111111111 3 2
273.35 28.85 -86.65 471.972222222222 3 2
273.35 28.95 -86.65 450.652777777778 3 2
273.35 29.05 -86.65 437.972222222222 2 1
273.35 29.15 -86.65 422.708333333333 20 3
273.35 29.25 -86.65 404.881944444444 2 1
273.35 29.35 -86.65 375.805555555556 20 3
273.35 29.45 -86.65 309.534722222222 30 4
273.35 29.55 -86.65 230.513888888889 30 4
273.35 29.65 -86.65 180.520833333333 30 4
273.35 29.75 -86.65 149.097222222222 3 2
273.35 29.85 -86.65 123.166666666667 2 1
273.35 29.95 -86.65 103.590277777778 2 1
273.35 30.05 -86.65 62.5347222222222 300 6
273.35 30.15 -86.65 35.0277777777778 30 4
273.35 30.25 -86.65 24.9652777777778 30 4
273.35 30.35 -86.65 20.0526315789474 200 5
273.45 28.65 -86.55 489.076388888889 2 1
273.45 28.75 -86.55 450.1875 3 2
273.45 28.85 -86.55 427.527777777778 3 2
273.45 28.95 -86.55 407.506944444444 3 2
273.45 29.05 -86.55 397.590277777778 3 2
273.45 29.15 -86.55 382.701388888889 3 2
273.45 29.25 -86.55 364.368055555556 3 2
273.45 29.35 -86.55 328.041666666667 3 2
273.45 29.45 -86.55 260.270833333333 2 1
273.45 29.55 -86.55 201.173611111111 3 2
273.45 29.65 -86.55 160.444444444444 3 2
273.45 29.75 -86.55 131.756944444444 2 1
