FishID,Lon1,Lat1,Lon2,Lat2,days_at_large
,,,,,
10,-87.17,30.04,-86.15,30.23,62
,,,,,
35,-87.17,30.04,-87.66,30.05,402
,,,,,
39,-87.17,30.04,-87.22,30.27,408
,,,,,
58,-87.15,30.03,-87.6,30.2,410
,,,,,
137,-87.12,30.02,-86.89,29.96,396
,,,,,
143,-87.12,30.02,-87.23,30.18,42
,,,,,
144,-87.12,30.02,-87.13,29.97,223
,,,,,
150,-87.12,30.02,-86.01,30.08,142
,,,,,
181,-87.12,30.03,-87.55,29.91,625
,,,,,
192,-87.12,30.03,-87.09,29.99,164
,,,,,
195,-87.12,30.03,-87.13,30.01,852
,,,,,
207,-87.12,30.03,-87.18,30.14,173
,,,,,
234,-87.08,30.04,-87.24,30.14,99
,,,,,
236,-87.08,30.04,-84.89,28.63,103
,,,,,
238,-87.08,30.04,-86.53,29.73,69
,,,,,
239,-87.08,30.04,-86.5,30.22,437
,,,,,
248,-87.08,30.04,-87.13,29.94,488
,,,,,
262,-87.08,30.04,-86.74,30.15,458
,,,,,
265,-87.08,30.04,-86.51,30.18,413
,,,,,
271,-87.08,30.04,-87.05,30.2,408
,,,,,
275,-87.12,30.03,-86.48,30.14,390
,,,,,
277,-87.08,30.04,-87.3,30.19,472
,,,,,
316,-87.12,30.08,-87.28,30.08,492
,,,,,
322,-87.12,30.08,-87.28,30.08,492
,,,,,
328,-87.12,30.08,-87.17,30.27,413
,,,,,
333,-87.12,30.08,-87.31,30.15,404
,,,,,
335,-87.12,30.08,-86.53,29.73,176
,,,,,
338,-87.12,30.08,-86.92,30.16,344
,,,,,
342,-87.12,30.08,-87.24,30.2,765
,,,,,
350,-87.16,30.06,-85.73,29.83,807
,,,,,
352,-87.16,30.06,-87.09,30.14,413
,,,,,
370,-87.16,30.06,-87.15,29.99,429
,,,,,
398,-87.12,30.08,-87.09,30,347
,,,,,
404,-87.12,30.08,-87.13,29.97,298
,,,,,
418,-87.12,30.08,-86.32,30.05,329
,,,,,
426,-87.12,30.03,-87.24,30.14,88
,,,,,
460,-87.12,30.03,-87.02,30.02,319
,,,,,
464,-87.12,30.03,-85.98,29.91,402
,,,,,
467,-87.12,30.03,-87.13,30.01,792
,,,,,
473,-87.12,30.03,-87.22,30.14,317
,,,,,
500,-87.17,30.04,-87.28,30.08,432
,,,,,
503,-87.17,30.04,-86.54,30.34,62
,,,,,
505,-87.17,30.04,-86.19,29.9,60
,,,,,
507,-87.17,30.04,-85.94,29.87,370
,,,,,
510,-87.17,30.04,-87.23,30.22,402
,,,,,
514,-87.17,30.04,-86.65,29.92,62
,,,,,
524,-87.17,30.04,-86.44,30.35,60
,,,,,
545,-87.12,30.02,-87.33,29.98,124
,,,,,
549,-87.12,30.02,-87.24,30.16,348
,,,,,
553,-87.12,30.02,-86.92,30.04,667
,,,,,
601,-87.17,30.01,-87.19,30.03,746
,,,,,
602,-87.17,30.01,-87.22,30.14,704
,,,,,
610,-87.16,30.06,-85.73,29.99,679
,,,,,
625,-87.16,30.06,-87.13,30.01,204
,,,,,
738,-87.12,30.03,-87.28,30.08,317
,,,,,
784,-87.12,30.02,-87.08,30,261
,,,,,
804,-87.15,30.03,-87.3,30.18,570
,,,,,
838,-87.17,30.01,-87.13,30.01,622
,,,,,
866,-87.17,30.01,-86.75,30.18,291
,,,,,
885,-87.17,30.01,-84.26,28.61,518
,,,,,
895,-87.17,30.01,-87.28,30.08,349
,,,,,
906,-87.17,30.01,-87.15,30.1,659
,,,,,
908,-87.17,30.01,-86.6,30.31,578
,,,,,
922,-87.17,30.04,-87.1,30.17,271
,,,,,
931,-87.17,30.04,-85.18,29.52,594
,,,,,
968,-87.17,30.04,-86.07,29.91,487
,,,,,
1012,-87.12,30.08,-87.28,30.08,254
,,,,,
1018,-87.12,30.08,-87.13,30.16,201
,,,,,
1020,-87.12,30.08,-85.22,29.15,201
,,,,,
1023,-87.12,30.08,-87.34,30.21,137
,,,,,
1067,-87.17,30.04,-86.52,30.06,176
,,,,,
1161,-87.17,30.01,-86.97,30.31,168
,,,,,
1170,-87.17,30.01,-87.25,30.19,506
,,,,,
1262,-87.17,30.01,-87.28,30.08,83
,,,,,
1269,-87.17,30.01,-87.13,30.01,442
,,,,,
1271,-87.17,30.01,-87.13,30.01,431
,,,,,
1275,-87.12,30.02,-86.52,30.07,21
,,,,,
1277,-87.12,30.02,-87.45,30.1,37
,,,,,
1278,-87.12,30.02,-86.31,30.21,74
,,,,,
1279,-87.12,30.02,-86.5,30.34,412
,,,,,
1281,-87.12,30.02,-87.23,30.1,424
,,,,,
1290,-87.12,30.02,-86.12,29.75,424
,,,,,
1322,-87.12,30.03,-87.16,30.09,467
,,,,,
1365,-87.12,30.08,-87.04,30.07,45
,,,,,
1381,-87.12,30.08,-87.09,30.13,403
,,,,,
1382,-87.12,30.08,-87.28,30.08,66
,,,,,
1392,-87.12,30.08,-86.34,30.24,366
,,,,,
1441,-87.12,30.02,-87.13,30.23,137
,,,,,
1447,-87.12,30.02,-86.38,30.14,326
,,,,,
1508,-87.1,30.09,-86.56,30,317
,,,,,
1509,-87.1,30.09,-86.23,30.27,347
,,,,,
1534,-87.16,30.06,-87.16,30.11,680
,,,,,
1535,-87.16,30.06,-87.16,30.09,403
,,,,,
1548,-87.17,30.04,-87.94,30.16,32
,,,,,
1557,-87.17,30.04,-87.28,30.08,83
,,,,,
1580,-87.12,30.08,-87.16,30.09,276
,,,,,
1609,-87.12,30.08,-86.6,30.31,253
,,,,,
1613,-87.12,30.08,-87.01,30.04,304
,,,,,
1614,-87.12,30.08,-87.01,30.06,304
,,,,,
1625,-87.1,30.09,-87.12,30.15,283
,,,,,
1632,-87.1,30.09,-87.13,30.1,277
,,,,,
1654,-87.1,30.09,-87.97,30.2,219
,,,,,
1687,-87.12,30.03,-87.18,30.02,316
,,,,,
1713,-87.12,30.02,-87.15,30.1,239
,,,,,
1721,-87.12,30.02,-87.19,30.06,231
,,,,,
1724,-87.12,30.02,-87.22,30.19,227
,,,,,
1744,-87.12,30.02,-87.19,30.03,302
,,,,,
1765,-87.15,30.03,-87.13,30.01,322
,,,,,
1787,-87.15,30.03,-87.19,30.06,300
,,,,,
1802,-87.17,30.01,-86.42,30.19,268
,,,,,
1828,-87.17,30.01,-84.98,29.05,268
,,,,,
1862,-87.17,30.01,-87.29,30.22,241
,,,,,
2090,-87.12,30.08,-87.16,30.09,196
,,,,,
2117,-87.17,30.04,-85.92,30.01,51
,,,,,
2128,-87.12,30.08,-87.15,30.01,222
,,,,,
2135,-87.12,30.08,-87.19,30.09,211
,,,,,
2147,-87.12,30.08,-87.16,30.09,215
,,,,,
2152,-87.12,30.08,-87.15,30.1,222
,,,,,
2157,-87.12,30.08,-87.09,30,148
,,,,,
2204,-87.12,30.03,-87.1,30.09,225
,,,,,
2230,-87.12,30.02,-85.35,29.31,179
,,,,,
2231,-87.12,30.02,-87.12,29.97,179
,,,,,
2251,-87.17,30.01,-84.32,29.67,186
,,,,,
2265,-87.17,30.01,-85.73,29.99,130
,,,,,
2296,-87.17,30.01,-87.19,30.1,224
,,,,,
2571,-87.12,30.08,-87.08,30.08,34
,,,,,
2573,-87.12,30.08,-87.15,30.1,20
,,,,,
2574,-87.12,30.08,-87.2,30.07,20
